Title,URL,Advertiser,Location,Listing Date,Short Description
Senior Cloud Engineer - AWS Migration - Perm Role - Great Salary Package,https://www.seek.com.au/jobs/job/36501530?type=standout,Xpand Group Pty Ltd,Melbourne,5d ago,Looking for multiple AWS Build Engineers to work on one of Australia's leading projects transitioning this globally used application to AWS.
AWS DevOps Lead,https://www.seek.com.au/jobs/job/36501413?type=standout,Ambition Technology,Gold Coast,5d ago,"Want to work in a great environment,  want to be challenged by multiple projects and get lots of perks,  including bonuses along the way? GC based!"
DevOps Engineer,https://www.seek.com.au/jobs/job/36501051?type=standard,Megaport (Australia) Pty Limited,Brisbane,5d ago,Develop your technical support skills in a global environment and gain exposure to a broad range of technologies. Modern and flexible company culture.
Inhouse/Field Electronics Technician in Medical Field,https://www.seek.com.au/jobs/job/36501026?type=standard,Medical Equipment Sales & Services,Melbourne,5d ago,Inhouse/Field Electronics Technician in Medical Field
Senior DevOps / AWS Engineer - Contract,https://www.seek.com.au/jobs/job/36500236?type=standout,Versent Pty Ltd,Sydney,5d ago,"We believe in bringing craftsmanship back to technology, because as technology artisans, we passionately care about quality outcomes."
Full Stack Software Engineer,https://www.seek.com.au/jobs/job/36499937?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Sydney,5d ago,Software engineering and development. 
Senior Test Manager - Performance & Automation,https://www.seek.com.au/jobs/job/36499762?type=standout,Peoplebank Australia NSW,Sydney,5d ago,Leading Telecommunications organisation seeks a SENIOR TEST MANAGER with Automation &amp; Performance testing exp to work on large transformation project!
Senior Software Engineer - PHP,https://www.seek.com.au/jobs/job/36499047?type=standout,Bigcommerce,Sydney,5d ago,"BigCommerce, named one of Australia's Coolest Companies by Anthill Magazine in 2017, is looking for a Senior Software Engineer (PHP in Sydney."
Senior Fullstack Developer,https://www.seek.com.au/jobs/job/36417563?type=standard,Opus Recruitment Solutions,Brisbane,17d ago,Opportunity to relocate to Sydney and become a lead a new continuous project. Next step in Ruby and React career!
Technical Lead,https://www.seek.com.au/jobs/job/36416300?type=standout,Hudson,ACT,17d ago,"You will work in an agile way to build world-class government digital services using modern open source tools and frameworks (Ruby, Python, Java)."
PROPERTY MANAGER | $75k SALARY $$ | NORTHERN SUBURBS | TOP TIER AGENCIES,https://www.seek.com.au/jobs/job/36414264?type=standard,Titanium Recruitment,Melbourne,17d ago,Amazing new opportunities in the North - Titanium Recruitment the leaders of recruitment in the North - CALL RUBY 0418 691 591
SOUTH YARRA SALES AGENT - PROJECT SALES | MANDARIN SPEAKING PREFERRED,https://www.seek.com.au/jobs/job/36497445?type=standard,Titanium Recruitment,Melbourne,5d ago,PROJECT SALES ROLE AVAILABLE IN THE AFFLUENT INNER-CITY MELBOURNE SUBURB - SOUTH YARRA | Base Salary + Commissions | Mandarin speaking preferred |
Ruby on Rails Developer,https://www.seek.com.au/jobs/job/36332018?type=standout,Selective Search,Brisbane,27d ago,Ruby/Go Software Engineer/New Cloud Projects/AWS/Long term career ops/Great Team and benefits/
"Lead Developer - Contract | Node.js, Restify, React, CI/CD | $900-1100pd",https://www.seek.com.au/jobs/job/36493838?type=standard,Affix Group,Melbourne,6d ago,Contract Lead Developer opportunity to help set up a business for long-term success.
Scientific Recruitment Consultant,https://www.seek.com.au/jobs/job/36491908?type=standard,Kelly Scientific Resources,Brisbane,6d ago,"Supporting team environment, career progression with a lucrative bonus scheme! "
Program Test Manager,https://www.seek.com.au/jobs/job/36490144?type=standard,Paxus Australia Pty Ltd,Sydney,6d ago,Work for a leading organisation playing a pivotal role in providing strategic direction to the Architects and Analysts of the test department.
DevOps Cloud Engineer,https://www.seek.com.au/jobs/job/36489280?type=standard,Ashdown People,Sydney,6d ago,"Ashdown people is looking for a DevOps Cloud Engineer to work closely with the manager to help build, administer &amp; support systems as they transition"
Senior / Lead JavaScript Developer (REACT / VUE / ANGULAR),https://www.seek.com.au/jobs/job/36487164?type=standard,CircuIT Recruitment Group,Melbourne,7d ago,"JS / REACT or ANGULAR or VUE Expert required immediately| Established AGILE house in the CBD, with one of Australia's biggest brand names."
Senior Developer - NetEngine,https://www.seek.com.au/jobs/job/36406336?type=standard,Employment Office,Melbourne,18d ago,"Opportunity for experienced Developer (Ruby on Rails, JS, React Native, or Node) to join an agile company. Great diversity in projects &amp; clients!"
Senior Developer - NetEngine,https://www.seek.com.au/jobs/job/36406314?type=standard,Employment Office,Adelaide,18d ago,"Opportunity for experienced Developer (Ruby on Rails, JS, React Native, or Node) to join an agile company. Great diversity in projects &amp; clients!"
Front-end / Full-stack Web Developer (Ruby on Rails),https://www.seek.com.au/jobs/job/36332522?type=standout,Covidence,Melbourne,26d ago,"Rails-capable front-end web application developer (React, Rails, Javascript, Postgres) in non-profit SaaS business in the health and research sector"
"Mid - Senior Developers (Ruby, Rails and React)",https://www.seek.com.au/jobs/job/36332365?type=standard,Interpro - QLD,Brisbane,27d ago,Employer of Choice - World Class Development Team - Great Culture - Funded Training and Professional Development Opportunities - Career Progression
Cook / Chef,https://www.seek.com.au/jobs/job/36457680?type=standard,Our Ruby Girl,Perth,11d ago,Rare opportunity to design a menu &amp; kitchen &amp; manage all kitchen operations in a start up 28 seat cafe - looking for something out of left field!
Software Developer - Contract Project role,https://www.seek.com.au/jobs/job/36483684?type=standard,Access MQ,Sydney,8d ago,Seeking a well rounded Software Developer for a 6 month project role. Assist an online based treatment provider in improvements and implementation.
Software Engineer/Developer,https://www.seek.com.au/jobs/job/36483760?type=standout,Outware Mobile (part of Arq Group),Melbourne,8d ago,Develop high quality code for some of Australia's biggest brands!
JavaScript Developer- Node/ React/ AWS,https://www.seek.com.au/jobs/job/36483243?type=standard,Davidson Technology,Melbourne,8d ago,"Do you have a desire to work in a small team, but build something something huge.
Are you motivated to deliver high quality customer outcomes?"
